Bulgarian,English
дали,whether
не,no
се,yourself
и,and
на,on
си,its
за,for
ще,will
че,that
това,this
ли,whether
в,in
ти,you
от,from
ми,me
с,with
какво,what
го,it
съм,be
но,but
аз,I
те,they
трябва,must
добре,well
ме,me
няма,there is no
може,can
ако,if
тук,here
така,so
амоняк,ammonia
ви,you
като,as
много,very much
има,have
беше,it was
нещо,thing
му,him
как,as
знам,know
само,only
всичко,everything
мен,me
сега,now
теб,you
тя,she
което,which
искам,want
мога,can
още,more
когато,when
до,to
ги,them
този,that
просто,just
сте,you are
или,or
би,would
тази,this one
всички,all
благодаря,thanks
нали,right
сме,be
нищо,nothing
толкова,so much
знаеш,you know
един,one
защото,for
след,after
там,there
време,time
който,who
искаш,want
мисля,think
малко,a little
имам,have
преди,before
вече,already
тези,those
моля,please
ос,axle
някой,somebody
каза,said
него,him
наистина,really
ние,we
вие,you
които,who
й,her
повече,more
съжалявам,regret
тогава,then
точно,precisely
става,become
все,all
можеш,you can
една,one
имаш,you have
към,to
без,without
колко,how much
кажа,say
никога,never
при,at
човек,person
работа,work
им,them
ден,day
едно,one
бях,I have been
бъде,be
през,through
ето,here
със,with
дори,even
хора,people
както,as
нас,us
голота,nakedness
бил,Bill
баща,father
правиш,do
която,which
разбира,understand
също,also
мислиш,you think
вас,you
ами,well
нея,her
винаги,always
докато,while
имаме,we have
виж,see
всеки,each
иска,want
майка,mother
казах,said
нека,let
хората,the people
хей,hey
жена,woman
видя,see
дали,whether
във,in
никой,no one
пак,again
тях,them
направя,make
неща,things
кажи,say
място,place
заради,for
прави,do
сър,sir
можем,can
дяволите,devils
изглежда,seems
днес,today
кажеш,say
живота,life
трябваше,I had to
отново,again
татко,father
няколко,a few
наред,well
боже,gosh
друг,other
здравей,hello
затова,therefore
бих,would
доста,pretty
обичам,love
пари,money
знае,knows
начин,way
моя,my
мислех,thought
по-добре,better
нужда,need
сам,alone
две,two
дойде,came
заедно,together
добър,good
ела,fir
приятел,friend
неприятел,foe
заек,rabbit
кокошка,hen
прасе,pig
